"","title","director","year","rating","duration","genre","synopsis"
"1","The Lord of the Rings: The Return of the King","Peter Jackson","(2003)","8.9","201 min","
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"2","Inception","Christopher Nolan","(2010)","8.8","148 min","
Action, Adventure, Sci-Fi            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"3","The Lord of the Rings: The Fellowship of the Ring","Peter Jackson","(2001)","8.8","178 min","
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"4","Il buono, il brutto, il cattivo","Sergio Leone","(1966)","8.8","161 min","
Adventure, Western            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"5","The Lord of the Rings: The Two Towers","Peter Jackson","(2002)","8.7","179 min","
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"6","Star Wars: Episode V - The Empire Strikes Back","Irvin Kershner","(1980)","8.7","124 min","
Action, Adventure, Fantasy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"7","Interstellar","Christopher Nolan","(2014)","8.6","169 min","
Adventure, Drama, Sci-Fi            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"8","Sen to Chihiro no kamikakushi","Hayao Miyazaki","(2001)","8.6","125 min","
Animation, Adventure, Family            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"9","Star Wars","George Lucas","(1977)","8.6","121 min","
Action, Adventure, Fantasy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"10","Shichinin no samurai","Akira Kurosawa","(1954)","8.6","207 min","
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"11","Gladiator","Ridley Scott","(2000)","8.5","155 min","
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"12","The Lion King","Roger Allers","(1994)","8.5","88 min","
Animation, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"13","Back to the Future","Robert Zemeckis","(1985)","8.5","116 min","
Adventure, Comedy, Sci-Fi            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"14","Spider-Man: Into the Spider-Verse","Bob Persichetti","(2018)","8.4","117 min","
Animation, Action, Adventure            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"15","Avengers: Endgame","Anthony Russo","(2019)","8.4","181 min","
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"16","Avengers: Infinity War","Anthony Russo","(2018)","8.4","149 min","
Action, Adventure, Sci-Fi            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"17","Coco","Lee Unkrich","(I) (2017)","8.4","105 min","
Animation, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"18","WALL·E","Andrew Stanton","(2008)","8.4","98 min","
Animation, Adventure, Family            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"19","Mononoke-hime","Hayao Miyazaki","(1997)","8.4","134 min","
Animation, Action, Adventure            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"20","Raiders of the Lost Ark","Steven Spielberg","(1981)","8.4","115 min","
Action, Adventure            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"21","Kimetsu no Yaiba: Mugen Ressha-Hen","Haruo Sotozaki","(2020)","8.3","117 min","
Animation, Action, Adventure            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"22","Inglourious Basterds","Quentin Tarantino","(2009)","8.3","153 min","
Adventure, Drama, War            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"23","Toy Story","John Lasseter","(1995)","8.3","81 min","
Animation, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"24","Aliens","James Cameron","(1986)","8.3","137 min","
Action, Adventure, Sci-Fi            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"25","Star Wars: Episode VI - Return of the Jedi","Richard Marquand","(1983)","8.3","131 min","
Action, Adventure, Fantasy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"26","Das Boot","Wolfgang Petersen","(1981)","8.3","149 min","
Adventure, Drama, Thriller            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"27","Dersu Uzala","Akira Kurosawa","(1975)","8.3","142 min","
Adventure, Biography, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"28","2001: A Space Odyssey","Stanley Kubrick","(1968)","8.3","149 min","
Adventure, Sci-Fi            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"29","Lawrence of Arabia","David Lean","(1962)","8.3","228 min","
Adventure, Biography, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"30","North by Northwest","Alfred Hitchcock","(1959)","8.3","136 min","
Adventure, Mystery, Thriller            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"31","Klaus","Sergio Pablos","(2019)","8.2","96 min","
Animation, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"32","Queen","Vikas Bahl","(2013)","8.2","146 min","
Adventure, Comedy, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"33","Dune: Part One","Denis Villeneuve","(2021)","8.2","155 min","
Action, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"34","Up","Pete Docter","(2009)","8.2","96 min","
Animation, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"35","Toy Story 3","Lee Unkrich","(2010)","8.2","103 min","
Animation, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"36","Batman Begins","Christopher Nolan","(2005)","8.2","140 min","
Action, Adventure            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"37","Hauru no ugoku shiro","Hayao Miyazaki","(2004)","8.2","119 min","
Animation, Adventure, Family            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"38","Indiana Jones and the Last Crusade","Steven Spielberg","(1989)","8.2","127 min","
Action, Adventure            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"39","Sholay","Ramesh Sippy","(1975)","8.2","204 min","
Action, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"40","Monty Python and the Holy Grail","Terry Gilliam","(1975)","8.2","91 min","
Adventure, Comedy, Fantasy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"41","The Great Escape","John Sturges","(1963)","8.2","172 min","
Adventure, Drama, History            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"42","The Treasure of the Sierra Madre","John Huston","(1948)","8.2","126 min","
Adventure, Drama, Western            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"43","The Gold Rush","Charles Chaplin","(1925)","8.2","95 min","
Adventure, Comedy, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"44","Soul","Pete Docter","(2020)","8.1","100 min","
Animation, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"45","The Grand Budapest Hotel","Wes Anderson","(2014)","8.1","99 min","
Adventure, Comedy, Crime            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"46","Inside Out","Pete Docter","(I) (2015)","8.1","95 min","
Animation, Adventure, Comedy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"47","Song of the Sea","Tomm Moore","(2014)","8.1","93 min","
Animation, Adventure, Drama            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"48","Mad Max: Fury Road","George Miller","(2015)","8.1","120 min","
Action, Adventure, Sci-Fi            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"49","Zack Snyder's Justice League","Zack Snyder","(2021)","8.1","242 min","
Action, Adventure, Fantasy            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"50","Harry Potter and the Deathly Hallows: Part 2","David Yates","(2011)","8.1","130 min","
Adventure, Fantasy, Mystery            ","
Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
